Species_Element_ID,New Code,Present,Scientific Name,Common Name,CC,CW,GRank,COSEWIC,NRANK,SARO,S_RANK,CZ,CZRESTR,ES,CK,LB,MD,EL,OX,HN,BR,NG,HM,7E4,Type,Flowering Season,NatStatus,Invasive,Family,Supplemental CC,Supplemental CW,CW Override,Reason for Override/Suppl. CW Rationalization,Tracked,CCVI,CCVI Confidence,Tallgrass
102004,ACERNEG,,Acer negundo,Manitoba Maple,0,0,G5,,N5,,S5,C,,C,X,X,C,C,X,C,C,X,C,IC,TR,,N,Y,Aceraceae,0,0,,,N,,,
102008,ACERPLA,,Acer platanoides,Norway Maple,,5,GNR,,NNA,,SE5,IU,,IU,IX,IX,IU,IR,,IU,IX,IX,IX,IC,TR,,I,Y,Aceraceae,0,5,,,N,,,
102010,ACERPSE,,Acer pseudoplatanus,Sycamore Maple,,5,GNR,,NNA,,SE1,IR,,,,,,,,IR,IX,IX,IR,IR,TR,,I,Y,Aceraceae,0,5,,,N,,,
129000,AEGOPOD,,Aegopodium podagraria,Goutweed,,0,GNR,,NNA,,SE5,IU,,,IX,IX,IU,IU,IX,IR,,IR,IX,IC,FO,,I,Y,Apiaceae,0,0,,,N,,,
22010,AGROGIA,,Agrostis gigantea,Redtop,,-3,G4G5,,NNA,,SE5,IC,,IC,IX,IX,IC,IC,IX,IC,IX,IC,IX,IC,GR,,I,Y,Poaceae,0,-3,,,N,,,
89000,AILAALT,,Ailanthus altissima,Tree-of-heaven,,5,GNR,,NNA,,SE5,IR,,IR,IX,IX,IR,IR,,IR,,IR,IC,IR,TR,,I,Y,Simaroubaceae,0,5,,,N,,,
1256950,AKEBQUI,,Akebia quinata,Five-leaf Akebia,,5,GNR,,NNA,,SE1,IR,,,,,,,,,,,,IR,VI,,I,Y,Lardizabalaceae,0,5,,,N,,,
73000,ALLIPET,,Alliaria petiolata,Garlic Mustard,,0,GNR,,NNA,,SE5,IC,,IC,IX,IX,IC,IC,IX,IC,IX,IC,IC,IC,FO,Spr-Aut,I,Y,Brassicaceae,0,0,,,N,,,
45000,ALNUGLU,,Alnus glutinosa,European Black Alder,,-3,GNR,,NNA,,SE4,IU,,IR,,IR,IU,IR,IX,IC,IX,IU,IX,IC,SH,,I,Y,Betulaceae,0,-3,,,N,,,
1010906,AMPEGLA,,Ampelopsis glandulosa,Amur Peppervine,,,G5,,NNA,,SEH,IH,,,,,,,,,,,,IH,VW,,I,Y,Vitaceae,0,,,,N,,,
129010,ANTHSYL,,Anthriscus sylvestris,Wild Chervil,,5,GNR,,NNA,,SE4?,IR,,IR,,,IR,IX,IX,IR,,,IR,IR,FO,,I,Y,Apiaceae,0,5,,,N,,,
